Немного рейтингов для мебя любимого, мотивации и слияния с домашним:

Рейтинг:	Процент:
27188		12%
35350		24%
33369		18%
33065		48%
13472		25%
34148		52%
33652		14%
33577		17%
33485		15%
33324		11%
14035		18%
33111		235
32935		12%
30999		35%
31847		46%
31202		27%
12759		28%
29978		28%
29840		6%
29208		21%
27288		32%
27121		23%
27240		9%
28871		31%
27568		15%
27170		21%
24445		39%
30861		30%
30821		35%
30071		40%
30465		19%
12421		13%
11888		11%
28342		20%
28112		31%
27881		26%
27331		13%
24670		34%
25502		26%
26844		6%
25061		28%
23853		32%
24452		14%
23153		28%
21782		16%
22736		24%
22177		4%
22134		2%
22120		3%
22114		6%
22248		8%
22124		4%
22153		14%
22175		25%
22133		40%
22097		29%
